"scenario" "age_class" "vectorial_capacity"
"Scenario 1" "12-day-old" 71.7074964420184
"Scenario 1" "12-day-old" 71.7074964420184
"Scenario 1" "12-day-old" 77.2726764428675
"Scenario 1" "12-day-old" 77.2726764428675
"Scenario 1" "12-day-old" 77.2726764428675
"Scenario 1" "12-day-old" 77.2726764428675
"Scenario 1" "12-day-old" 77.2726764428675
"Scenario 1" "12-day-old" 82.8940206639572
"Scenario 1" "12-day-old" 82.8940206639572
"Scenario 1" "12-day-old" 82.8940206639572
"Scenario 1" "12-day-old" 88.5657961645444
"Scenario 1" "12-day-old" 94.2830155993835
"Scenario 1" "12-day-old" 94.2830155993835
"Scenario 1" "12-day-old" 94.2830155993835
"Scenario 1" "12-day-old" 94.2830155993835
"Scenario 1" "12-day-old" 94.2830155993835
"Scenario 1" "12-day-old" 94.2830155993835
"Scenario 1" "12-day-old" 100.041321410091
"Scenario 1" "12-day-old" 100.041321410091
"Scenario 1" "12-day-old" 105.836890624305
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 111.666356184688
"Scenario 1" "12-day-old" 117.526741606364
"Scenario 1" "12-day-old" 117.526741606364
"Scenario 1" "12-day-old" 117.526741606364
"Scenario 1" "12-day-old" 123.415406437408
"Scenario 1" "12-day-old" 123.415406437408
"Scenario 1" "12-day-old" 129.330000520452
"Scenario 1" "12-day-old" 135.2684254603
"Scenario 1" "12-day-old" 135.2684254603
"Scenario 1" "12-day-old" 147.209442419345
"Scenario 1" "12-day-old" 147.209442419345
"Scenario 1" "12-day-old" 183.443128379569
"Scenario 1" "12-day-old" 3.45658844990443e-05
"Scenario 1" "12-day-old" 5.86378062246229
"Scenario 1" "12-day-old" 24.9481128541044
"Scenario 1" "12-day-old" 33.6392092637397
"Scenario 1" "12-day-old" 43.2043737155611
"Scenario 1" "12-day-old" 43.2043737155611
"Scenario 1" "12-day-old" 43.2043737155611
"Scenario 1" "12-day-old" 43.2043737155611
"Scenario 1" "12-day-old" 53.5061910565941
"Scenario 1" "12-day-old" 53.5061910565941
"Scenario 1" "12-day-old" 53.5061910565941
"Scenario 1" "12-day-old" 64.4311121047594
"Scenario 1" "12-day-old" 64.4311121047594
"Scenario 1" "12-day-old" 75.8857617768849
"Scenario 1" "12-day-old" 75.8857617768849
"Scenario 1" "12-day-old" 100.090373044629
"Scenario 1" "12-day-old" 100.090373044629
"Scenario 1" "12-day-old" 100.090373044629
"Scenario 1" "12-day-old" 100.090373044629
"Scenario 1" "12-day-old" 100.090373044629
"Scenario 1" "12-day-old" 100.090373044629
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 112.724339262055
